,tnv,1,2,3,4
0,2,ENGS 069,ENGS 022,ANTH 012,
1,3,COSC 077,COSC 098,COSC 065,
2,4,COSC 057,COSC 065,,
3,5,COSC 065,,,
4,6,COSC 050,PSYC 028,COSC 065,
5,7,COSC 077,COSC 060,COSC 065,
6,8,CHIN 062,COSC 089,COSC 065,
7,9,ANTH 050,COSC 065,COSC 099,
8,10,COSC 050,BIOL 004,COSC 065,
9,11,COSC 089,COSC 050,TUCK 003,COSC 065
10,12,COSC 070,COSC 065,,
11,13,COSC 065,COSC 027,COSC 020,
12,14,EARS 003,SPAN 003,COSC 065,
13,15,COSC 065,COSC 027,,
14,16,COSC 089,MUS 016,COSC 065,
15,17,COSC 089,CHIN 033,TUCK 003,COSC 065
16,18,COSC 050,COSC 065,FILM 051,
17,19,COSC 070,COSC 065,,
18,20,COSC 050,NAS 035,COSC 065,
19,21,COSC 070,COSC 065,,
20,22,M&SS 045,COSC 060,COSC 065,
21,23,NAS 008,COSC 065,ENGL 028,
22,24,ECON 024,JAPN 033,FILM 042,COSC 065
23,25,MUS 003,COSC 050,COSC 065,
24,26,MUS 003,COSC 077,COSC 065,
25,27,MATH 023,COSC 069,COSC 065,
26,28,ENGS 025,ENGS 069,ENGS 093,
27,29,COSC 070,COSC 065,,
28,30,COSC 070,COSC 065,,
29,31,,,,
30,32,,,,
31,33,COSC 050,SPAN 002,COSC 065,
32,34,COSC 070,COSC 065,,
33,35,ENGS 031,COSC 065,,
34,36,COSC 060,COSC 065,,
35,37,COSC 070,COSC 065,,
36,38,ECON 036,COSC 050,COSC 065,
37,39,COSC 060,COSC 065,,
38,40,MATH 013,LAT 003,COSC 065,
39,41,COSC 060,COSC 065,,
40,42,COSC 070,COSC 065,,
41,43,BIOL 006,COSC 050,COSC 065,
42,44,COSC 089,COSC 065,,
43,45,ENGS 025,MATH 023,COSC 065,
44,46,,,,
45,47,COSC 098,COSC 060,COSC 065,
46,48,COSC 070,COSC 065,,
47,49,GERM 001,COSC 065,COSC 007,