,1,2,3,4
2,ENGS 069,ENGS 022,ANTH 012,
3,COSC 077,COSC 098,COSC 065,
4,COSC 057,COSC 065,,
5,COSC 065,,,
6,COSC 050,PSYC 028,COSC 065,
7,COSC 077,COSC 060,COSC 065,
8,CHIN 062,COSC 089 1,COSC 065,
9,ANTH 050,COSC 065,COSC 099,
10,COSC 050,BIOL 004,COSC 065,
11,COSC 089 1,COSC 050,TUCK 003,COSC 065
12,COSC 070,COSC 065,,
13,COSC 065,COSC 027,COSC 020,
14,EARS 003,SPAN 003,COSC 065,
15,COSC 065,COSC 027,,
16,COSC 089 1,MUS 016,COSC 065,
17,COSC 089 1,CHIN 033,TUCK 003,COSC 065
18,COSC 050,COSC 065,FILM 051,
19,COSC 070,COSC 065,,
20,COSC 050,NAS 035,COSC 065,
21,COSC 070,COSC 065,,
22,M&SS 045,COSC 060,COSC 065,
23,NAS 008,COSC 065,ENGL 028,
24,ECON 024,JAPN 033,FILM 042,COSC 065
25,MUS 003,COSC 050,COSC 065,
26,MUS 003,COSC 077,COSC 065,
27,MATH 023,COSC 069,COSC 065,
28,ENGS 025,ENGS 069,ENGS 093,
29,COSC 070,COSC 065,,
30,COSC 070,COSC 065,,
31,,,,
32,,,,
33,COSC 050,SPAN 002,COSC 065,
34,COSC 070,COSC 065,,
35,ENGS 031,COSC 065,,
36,COSC 060,COSC 065,,
37,COSC 070,COSC 065,,
38,ECON 036,COSC 050,COSC 065,
39,COSC 060,COSC 065,,
40,MATH 013,LAT 003,COSC 065,
41,COSC 060,COSC 065,,
42,COSC 070,COSC 065,,
43,BIOL 006,COSC 050,COSC 065,
44,COSC 089 1,COSC 065,,
45,ENGS 025,MATH 023,COSC 065,
46,,,,
47,COSC 098,COSC 060,COSC 065,
48,COSC 070,COSC 065,,
49,GERM 001,COSC 065,COSC 007,