date,home_time,school_time,recreational_activities,orthers,travel_time,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,2400.0,48000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7800.0,36,"Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall"
01:05:2013,0.0,0.0,25193.0,0.0,0.0,0.0,0.0,2,1.0,7800.0,36,C&A Pizza
01:06:2013,1210.0,3601.0,7199.0,0.0,0.0,0.0,0.0,5,0.0,0.0,36,"0,Class of 1953 Commons,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall"
02:04:2013,49200.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,36,0
02:05:2013,0.0,271200.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7800.0,36,Class of 1953 Commons
03:04:2013,51600.0,37200.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7800.0,36,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0"
04:04:2013,48000.0,33600.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7800.0,36,"Anonymous Hall,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
05:04:2013,61200.0,22802.0,1199.0,3599.0,0.0,0.0,0.0,4,0.0,6000.0,36,"0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Anonymous Hall,0"
05:05:2013,130801.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,36,0
06:04:2013,208800.0,37200.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,36,"Anonymous Hall,0"
06:05:2013,0.0,4800.0,0.0,0.0,7199.0,0.0,0.0,0,1.0,7800.0,36,"Class of 1953 Commons,Class of 1953 Commons,Maynard Parking Lot"
07:05:2013,61200.0,20400.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,36,"Sudikoff Hall,0,0"
08:04:2013,3600.0,30001.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7800.0,36,"Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Anonymous Hall"
08:05:2013,2398.0,248402.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7800.0,36,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
09:04:2013,39601.0,27598.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,36,"Class of 1953 Commons,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,Class of 1953 Commons"
10:04:2013,49200.0,51602.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7800.0,36,"Anonymous Hall,Sudikoff Hall,0,Anonymous Hall"
10:05:2013,2400.0,6000.0,0.0,0.0,0.0,0.0,0.0,4,0.0,6000.0,36,"Dartmouth College,Class of 1953 Commons,Sudikoff Hall"
11:04:2013,38399.0,29999.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7800.0,36,"Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Anonymous Hall,0,North Fayerweather Hall,Class of 1953 Commons,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse"
11:05:2013,8401.0,2399.0,0.0,1200.0,28800.0,45600.0,0.0,5,0.0,0.0,36,"Sudikoff Hall,0,0,Andres Hall,0,0,F Lot Parking,Wheelock Office Park"
12:04:2013,57600.0,54000.0,0.0,0.0,0.0,0.0,0.0,4,0.0,6000.0,36,"0,0,Class of 1953 Commons,Class of 1953 Commons,Anonymous Hall,0,Anonymous Hall"
12:05:2013,33601.0,0.0,0.0,0.0,82800.0,0.0,0.0,-1,0.0,0.0,36,"F Lot Parking,0,0"
13:04:2013,57601.0,12000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,36,"Anonymous Hall,0"
13:05:2013,219599.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,7800.0,36,0
14:04:2013,60132.0,1199.0,0.0,0.0,20400.0,0.0,0.0,-1,0.0,0.0,36,"Class of 1978 Life Sciences Center,Dana Circle Parking Lot,0,0,0,0"
15:04:2013,46800.0,36000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7800.0,36,"Anonymous Hall,0"
15:05:2013,0.0,27600.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7800.0,36,Reed Hall
16:04:2013,78000.0,1200.0,0.0,0.0,10800.0,0.0,0.0,1,0.0,0.0,36,"Dana Circle Parking Lot,Sudikoff Hall,0,Mass Parking Lot"
16:05:2013,333601.0,23671.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7800.0,36,"Class of 1953 Commons,0"
17:04:2013,38404.0,19202.0,0.0,0.0,23994.0,0.0,2400.0,2,0.0,7800.0,36,"Sudikoff Hall,F Lot Parking,Sudikoff Hall,0,Dana Parking Lot,0,F Lot Parking,Hanover Park"
18:04:2013,61200.0,18000.0,0.0,0.0,20400.0,0.0,0.0,3,0.0,7800.0,36,"Maynard Parking Lot,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,0,Class of 1953 Commons,0"
19:04:2013,56400.0,6000.0,0.0,0.0,6000.0,0.0,3600.0,4,0.0,6000.0,36,"F Lot Parking,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,0,0,Hanover Park,Hanover Park"
20:04:2013,141652.0,1200.0,2348.0,6000.0,10800.0,0.0,0.0,5,0.0,0.0,36,"F Lot Parking,0,Sudikoff Hall,0,Hopkins Center for the Arts,0"
20:05:2013,76801.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,7800.0,36,0
21:04:2013,0.0,1200.0,0.0,0.0,25200.0,0.0,0.0,-1,0.0,0.0,36,"Anonymous Hall,Maynard Parking Lot"
21:05:2013,316800.0,0.0,2399.0,0.0,0.0,0.0,0.0,1,0.0,0.0,36,"Black Family Visual Arts Center,Black Family Visual Arts Center,0"
22:04:2013,54000.0,1200.0,0.0,0.0,15600.0,0.0,0.0,0,1.0,7800.0,36,"Mass Parking Lot,0,Sudikoff Hall"
23:04:2013,43200.0,48000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,36,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Class of 1953 Commons"
24:04:2013,55202.0,2400.0,0.0,0.0,26400.0,0.0,0.0,2,1.0,7800.0,36,"0,Maynard Parking Lot,Maynard Parking Lot,0,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,0"
24:05:2013,0.0,3600.0,0.0,0.0,0.0,10800.0,0.0,4,1.0,6000.0,36,"Class of 1953 Commons,Class of 1953 Commons,Wheelock Office Park"
25:04:2013,231939.0,14400.0,0.0,0.0,15598.0,0.0,0.0,3,0.0,7800.0,36,"Dewey Parking Lot,Maynard Parking Lot,Class of 1953 Commons,Class of 1953 Commons,0"
25:05:2013,0.0,84717.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,36,"Sudikoff Hall,Robinson Hall"
26:05:2013,133201.0,16799.0,0.0,0.0,1200.0,0.0,0.0,-1,0.0,0.0,36,"Sudikoff Hall,0,0"
27:05:2013,2400.0,11999.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7800.0,36,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
28:04:2013,120002.0,0.0,21599.0,0.0,15599.0,0.0,0.0,-1,0.0,0.0,36,"F Lot Parking,0,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0"
28:05:2013,64800.0,22800.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,36,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
29:03:2013,50401.0,23999.0,1200.0,0.0,0.0,0.0,0.0,4,0.0,6000.0,36,"0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hood Museum of Art,Anonymous Hall"
29:04:2013,3615.0,4784.0,0.0,0.0,9600.0,0.0,0.0,0,1.0,7800.0,36,"Life Sciences Greenhouse,Life Sciences Greenhouse,Vail,Class of 1953 Commons,F Lot Parking"
29:05:2013,132013.0,23987.0,0.0,1200.0,0.0,0.0,0.0,2,0.0,7800.0,36,"Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Nugget Arcade,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,0,Life Sciences Greenhouse,Sudikoff Hall,0,0"
30:03:2013,87601.0,1198.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,36,"Anonymous Hall,0"
30:04:2013,157206.0,7201.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,36,"Sudikoff Hall,0"
30:05:2013,1200.0,10487.0,0.0,0.0,5113.0,0.0,0.0,3,0.0,7800.0,36,"0,Class of 1953 Commons,0"
31:03:2013,124799.0,19200.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,36,"0,0,Remsen Medical Sciences Building,0"
31:05:2013,89299.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,6000.0,36,"0,0"
