,home_time,school_time,orthers,travel_time,shopping,recreational_activities,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,43200.0,15601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,"0,0,0,Moore Psychology Building",6791.0,2386.0,60.0,424.4375,619.1849447728307,96.0,166.5,386.25,16.0,,40800.0,40800.0,40800.0,40800.0,,40800.0,40800.0,40800.0,1.0,
01:05:2013,58801.0,15600.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,"Moore Psychology Building,0,0,Dartmouth College",7698.0,3035.0,50.0,427.6666666666667,691.3790141279027,75.75,191.5,504.75,18.0,,9603.0,2402.0,1.0,1200.375,641.6946175112092,1200.0,1200.0,1200.0,8.0,
01:06:2013,0.0,9600.0,1200.0,14400.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,"Maynard Parking Lot,Moore Psychology Building,0,0",4529.0,2330.0,71.0,754.8333333333334,886.7246284313223,158.75,373.0,1064.25,6.0,,6000.0,6000.0,6000.0,6000.0,,6000.0,6000.0,6000.0,1.0,
02:04:2013,0.0,1199.0,0.0,0.0,82800.0,0.0,0.0,1.0,0.0,0.0,57.0,"Moore Psychology Building,Hanover Park",5035.0,4934.0,101.0,2517.5,3417.447073474584,1309.25,2517.5,3725.75,2.0,,49270.0,40800.0,8470.0,24635.0,22860.76223576108,16552.5,24635.0,32717.5,2.0,
02:05:2013,53999.0,45602.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,"Dartmouth College,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building",11420.0,1896.0,50.0,368.3870967741936,381.39512996535535,111.0,262.0,413.0,31.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,1.0
03:04:2013,85221.0,26402.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,"Moore Psychology Building,Moore Psychology Building,0,0",10392.0,2012.0,51.0,433.0,555.8582866006485,81.0,197.0,414.25,24.0,,40835.0,18000.0,1200.0,10208.75,8465.59410693268,3900.75,10817.5,17125.5,4.0,
03:05:2013,1198.0,43204.0,50400.0,1200.0,0.0,0.0,0.0,4.0,0.0,0.0,57.0,"Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Nugget Arcade,0,Moore Psychology Building,Moore Psychology Building,Native American House Parking Lot,Moore Psychology Building",14056.0,2201.0,50.0,319.45454545454544,399.3719170377322,126.0,207.0,317.25,44.0,,2401.0,1200.0,1.0,800.3333333333334,692.2429727583612,600.5,1200.0,1200.0,3.0,
04:04:2013,9600.0,1036.0,42000.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,"0,0,Sanborn House",8188.0,1809.0,40.0,389.9047619047619,431.9730205420131,122.0,242.0,455.0,21.0,,55086.0,20389.0,3497.0,9181.0,7037.553040652695,4800.0,5400.0,13200.0,6.0,
04:05:2013,49983.0,3598.0,0.0,0.0,0.0,9615.0,0.0,5.0,0.0,0.0,57.0,"Moore Psychology Building,0,0,0,Hood Museum of Art,0,0",2271.0,1161.0,41.0,324.42857142857144,454.4585999270111,60.0,71.0,439.0,7.0,2.0,18509.0,12658.0,1.0,2644.1428571428573,4437.683082742294,1109.5,1200.0,1215.5,7.0,5.0
05:04:2013,37202.0,44076.0,2563.0,0.0,0.0,6002.0,0.0,4.0,0.0,0.0,57.0,"0,Boloco,Moore Psychology Building,Moore Psychology Building,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Moore Psychology Building,Moore Psychology Building,Hanover Inn Dartmouth,Big Green Real Estate,0,0,Moore Psychology Building,Moore Psychology Building",9167.0,3579.0,40.0,436.5238095238095,753.8112906455846,121.0,232.0,393.0,21.0,,127192.0,127192.0,127192.0,127192.0,,127192.0,127192.0,127192.0,1.0,
05:05:2013,88606.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,57.0,0,,,,,,,,,,,17739.0,11015.0,1207.0,4434.75,4454.4659519034,2140.0,2758.5,5053.25,4.0,
06:04:2013,0.0,245999.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,Sudikoff Hall,24136.0,7091.0,60.0,1149.3333333333333,1674.7363474091478,171.0,383.0,1483.0,21.0,,,,,,,,,,,
06:05:2013,77997.0,1224.0,0.0,4798.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,"0,0,0,Moore Psychology Building,0,South Block Parking Garage,South Block Parking Garage",,,,,,,,,,,30475.0,8701.0,1.0,2770.4545454545455,2510.6121310802414,1028.5,2449.0,3723.5,11.0,
08:04:2013,34805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0,9780.0,2673.0,40.0,376.1538461538461,628.4246139232735,92.75,141.0,328.0,26.0,2.0,31205.0,9600.0,5.0,3120.5,3258.9163587507633,1200.0,1800.0,3300.0,10.0,4.5
08:05:2013,0.0,496190.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,Moore Psychology Building,,,,,,,,,,,,,,,,,,,,
09:04:2013,38399.0,20392.0,0.0,1204.0,0.0,4802.0,0.0,1.0,0.0,0.0,57.0,"Moore Psychology Building,0,0,Moore Psychology Building,Native American House Parking Lot,Moore Psychology Building,Berry Library",16686.0,3126.0,80.0,538.258064516129,643.491308811649,226.5,343.0,428.0,31.0,0.0,13206.0,4802.0,1200.0,2201.0,1595.1435045161295,1200.0,1202.0,3001.0,6.0,2.3333333333333335
10:04:2013,52800.0,27602.0,1198.0,6000.0,0.0,1198.0,0.0,2.0,0.0,0.0,57.0,"Berry Library,Native American House Parking Lot,Moore Psychology Building,Rockefeller Center,Rockefeller Center,Moore Psychology Building,Moore Psychology Building,Emerson House,0,0,Moore Psychology Building",18838.0,3298.0,30.0,607.6774193548387,862.680141075736,85.5,253.0,600.5,31.0,2.0,13200.0,3600.0,1200.0,1885.7142857142856,944.1549509633318,1200.0,1200.0,2400.0,7.0,5.0
11:04:2013,136800.0,16801.0,3600.0,1199.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,"Moore Psychology Building,Native American House Parking Lot,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Emerson House,0,0,0,Emerson House,0",10448.0,2562.0,81.0,746.2857142857143,750.950928292453,254.5,433.5,1023.0,14.0,1.0,23953.0,3600.0,1153.0,1842.5384615384617,934.3038955451108,1200.0,1200.0,2400.0,13.0,2.0
12:04:2013,2400.0,33600.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,57.0,"0,Moore Psychology Building",3698.0,605.0,60.0,264.1428571428572,191.58804248172177,83.25,257.0,393.0,14.0,,24736.0,6000.0,1.0,2061.3333333333335,1779.5577761870727,1200.0,1200.0,2351.25,12.0,
13:04:2013,61202.0,1200.0,2400.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,"Moore Psychology Building,Dartmouth College,0,0",28276.0,4770.0,40.0,744.1052631578947,1093.559494037054,131.0,387.5,605.75,38.0,1.0,59165.0,55202.0,363.0,14791.25,26953.467722168887,990.75,1800.0,15600.5,4.0,1.0
13:05:2013,0.0,21600.0,0.0,1200.0,0.0,1198.0,0.0,0.0,0.0,0.0,57.0,"Hopkins Center for the Arts,0,Moore Psychology Building",10245.0,2158.0,60.0,512.25,542.8865225033584,153.5,277.5,842.0,20.0,,6000.0,2401.0,1200.0,2000.0,692.8210447150116,1799.5,2399.0,2400.0,3.0,
14:04:2013,158400.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,57.0,0,19258.0,2595.0,40.0,469.7073170731707,558.4200589118572,141.0,252.0,575.0,41.0,,32400.0,6000.0,1200.0,2160.0,1375.707610130666,1200.0,1200.0,2400.0,15.0,
14:05:2013,55200.0,32400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,"Moore Psychology Building,0,0,Dartmouth College,Moore Psychology Building",16439.0,5920.0,81.0,714.7391304347826,1270.100504877515,161.5,272.0,468.5,23.0,,14400.0,2400.0,1200.0,1600.0,600.0,1200.0,1200.0,2400.0,9.0,
15:04:2013,1200.0,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,"0,Moore Psychology Building",8913.0,1432.0,71.0,424.4285714285714,371.09332672908187,141.0,232.0,584.0,21.0,1.0,19200.0,3600.0,1200.0,1600.0,781.6067367347156,1200.0,1200.0,1500.0,12.0,
15:05:2013,44400.0,9600.0,0.0,14400.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,"Moore Psychology Building,Native American House Parking Lot,0,0,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Collis Student Center,Moore Psychology Building",13099.0,2531.0,60.0,523.96,649.8738646845248,111.0,272.0,474.0,25.0,,13201.0,3601.0,1200.0,1885.857142857143,1171.3240981287556,1200.0,1200.0,2400.0,7.0,
16:04:2013,53999.0,28801.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,"Moore Psychology Building,Dartmouth College,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building,Moore Psychology Building",13673.0,3783.0,50.0,621.5,897.7401124622925,86.0,413.5,710.75,22.0,1.0,20400.0,6000.0,1200.0,2266.6666666666665,1637.0705543744898,1200.0,1200.0,2400.0,9.0,2.0
16:05:2013,51600.0,44401.0,0.0,11999.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,"Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Native American House Parking Lot,Native American House,Moore Psychology Building,Moore Psychology Building,0,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building",11773.0,1824.0,60.0,379.7741935483871,431.74975079532817,100.0,221.0,389.0,31.0,,15526.0,2400.0,1126.0,1293.8333333333333,349.0011287643464,1200.0,1200.0,1200.0,12.0,
17:04:2013,54000.0,38392.0,0.0,1200.0,0.0,8.0,0.0,2.0,0.0,0.0,57.0,"Hanover Inn Dartmouth,Collis Student Center,Native American House Parking Lot,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building",13820.0,1926.0,51.0,460.6666666666667,472.362246537573,93.5,304.0,645.75,30.0,2.0,9404.0,2400.0,1070.0,1567.3333333333333,621.8124047224104,1200.0,1200.0,2050.5,6.0,5.0
17:05:2013,49200.0,24001.0,0.0,0.0,0.0,1199.0,1200.0,4.0,0.0,0.0,57.0,"Moore Psychology Building,Dartmouth College,Phi Tau,0,0,0,Moore Psychology Building",6491.0,1950.0,60.0,341.63157894736844,422.7731478026058,146.0,212.0,363.5,19.0,,8401.0,2400.0,1.0,1200.142857142857,692.5316908684706,1200.0,1200.0,1200.0,7.0,
18:04:2013,43200.0,45600.0,8401.0,2400.0,3599.0,0.0,0.0,3.0,0.0,0.0,57.0,"Moore Psychology Building,Native American House Parking Lot,Native American House Parking Lot,Moore Psychology Building,0,0,Hanover Park,0,0,Moore Psychology Building",12302.0,4297.0,40.0,534.8695652173913,995.5514828177955,90.5,141.0,332.5,23.0,,10800.0,2400.0,1200.0,1542.857142857143,585.54004376912,1200.0,1200.0,1800.0,7.0,
18:05:2013,94800.0,1200.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,"Moore Psychology Building,0",5588.0,3873.0,71.0,798.2857142857143,1363.5012179783969,197.0,342.0,454.0,7.0,,14402.0,3602.0,1200.0,1600.2222222222222,849.1174503238315,1200.0,1200.0,1200.0,9.0,
19:04:2013,33599.0,10806.0,0.0,0.0,0.0,17998.0,0.0,4.0,0.0,0.0,57.0,"Moore Psychology Building,Berry Library,Hanover Inn Dartmouth,Hanover Inn Dartmouth,Dartmouth College,Dartmouth College,0,0,Moore Psychology Building,Hanover Inn Dartmouth,Moore Psychology Building,Moore Psychology Building",23564.0,5537.0,50.0,1122.095238095238,1696.946254445376,101.0,347.0,787.0,21.0,,105719.0,96408.0,1.0,10571.9,30161.99410387553,1115.5,1193.0,1200.0,10.0,
19:05:2013,85605.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,57.0,0,16789.0,3539.0,50.0,932.7222222222222,1106.7189348039524,133.5,509.0,1306.5,18.0,2.0,80805.0,80805.0,80805.0,80805.0,,80805.0,80805.0,80805.0,1.0,5.0
20:04:2013,3597.0,14400.0,0.0,98400.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,"Dartmouth College,Dartmouth College,Moore Psychology Building,Moore Psychology Building,Native American House Parking Lot",8001.0,1956.0,50.0,500.0625,492.1145488264563,229.25,326.0,587.5,16.0,2.0,,,,,,,,,,5.0
20:05:2013,57600.0,22800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,"0,0,Moore Psychology Building",9756.0,2722.0,60.0,424.1739130434783,599.9386068722451,85.5,202.0,465.5,23.0,,36000.0,9598.0,1200.0,2117.6470588235293,2100.903286124104,1200.0,1200.0,2400.0,17.0,
21:04:2013,135477.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,57.0,0,21137.0,3620.0,51.0,515.5365853658536,694.0223014270138,131.0,222.0,668.0,41.0,1.0,23324.0,10241.0,1198.0,2332.4,2819.038693518689,1200.0,1200.0,2011.25,10.0,1.0
22:04:2013,1200.0,22800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,"0,Moore Psychology Building",10772.0,1756.0,61.0,398.962962962963,362.5903050892693,141.0,333.0,489.5,27.0,,14402.0,3604.0,1196.0,1800.25,1110.8345318466008,1199.75,1201.5,1802.0,8.0,
22:05:2013,45597.0,43200.0,0.0,1198.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,"Dartmouth College,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Dartmouth College,0,0,Dartmouth College,Native American House Parking Lot,Moore Psychology Building",11588.0,3721.0,51.0,331.0857142857143,621.6561074793575,101.0,172.0,322.5,35.0,,21293.0,8397.0,1200.0,2365.8888888888887,2510.646154102786,1200.0,1200.0,1200.0,9.0,
23:04:2013,51600.0,15600.0,0.0,0.0,0.0,3600.0,0.0,1.0,0.0,0.0,57.0,"Moore Psychology Building,Hanover Inn Dartmouth,0,0,Moore Psychology Building",15522.0,6928.0,61.0,574.8888888888889,1293.2987439202286,141.0,293.0,479.0,27.0,,3512.0,1200.0,1112.0,1170.6666666666667,50.80682368868706,1156.0,1200.0,1200.0,3.0,
23:05:2013,52800.0,33601.0,1199.0,1200.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,"Moore Psychology Building,White Mountains Insurance Group,Dartmouth College,Moore Psychology Building,Moore Psychology Building,Maynard Parking Lot,0,0,Moore Psychology Building",8918.0,3247.0,60.0,405.3636363636364,645.6071741985395,193.75,277.0,341.0,22.0,,25200.0,4800.0,1200.0,2520.0,1193.314711214104,1500.0,2400.0,3300.0,10.0,
24:04:2013,45600.0,37200.0,1200.0,0.0,0.0,1200.0,0.0,2.0,0.0,0.0,57.0,"Moore Psychology Building,0,Hanover Inn Dartmouth,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building,Moore Psychology Building,Class of 1953 Commons",14936.0,3742.0,60.0,439.2941176470589,658.1701230483196,131.0,201.5,504.0,34.0,,11999.0,4797.0,1199.0,2399.8,1696.7040696597624,1200.0,1200.0,3603.0,5.0,
24:05:2013,34799.0,25200.0,8400.0,8400.0,0.0,4801.0,0.0,4.0,0.0,0.0,57.0,"White Mountains Insurance Group,Moore Psychology Building,Moore Psychology Building,0,New Hampshire Hall,Hanover Inn Valet Lot,Heating & Electric Plant,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Heating & Electric Plant,Hanover Inn Valet Lot,Heating & Electric Plant,Heating & Electric Plant,0,0,Moore Psychology Building",6449.0,606.0,30.0,208.03225806451613,147.460838613956,70.0,181.0,298.0,31.0,,13200.0,2400.0,1200.0,1650.0,621.0590034081188,1200.0,1200.0,2400.0,8.0,
25:04:2013,68400.0,20400.0,0.0,1200.0,0.0,1200.0,0.0,3.0,0.0,0.0,57.0,"Class of 1953 Commons,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building,Moore Psychology Building,0,0,0,0,Moore Psychology Building",8031.0,1240.0,60.0,334.625,314.3802478168616,131.0,247.0,344.75,24.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
25:05:2013,53999.0,55200.0,1201.0,0.0,0.0,1200.0,0.0,5.0,0.0,0.0,57.0,"Moore Psychology Building,0,Moore Psychology Building,Moore Psychology Building,0,Moore Psychology Building,Moore Psychology Building,Dartmouth College,Dartmouth College,0,0,Moore Psychology Building",10541.0,4558.0,81.0,752.9285714285714,1173.7750711198537,176.0,303.0,981.0,14.0,,28799.0,3600.0,1199.0,1919.9333333333336,993.7461925653326,1200.0,1200.0,2400.0,15.0,
26:04:2013,49200.0,32400.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,57.0,"Moore Psychology Building,0,Moore Psychology Building,0,0,Moore Psychology Building",10247.0,1604.0,31.0,310.5151515151515,291.6515602148522,141.0,242.0,413.0,33.0,2.0,7909.0,2399.0,717.0,1318.1666666666667,563.4136727722063,1194.0,1200.0,1200.75,6.0,5.0
26:05:2013,75346.0,1200.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,57.0,"Moore Psychology Building,0",3328.0,585.0,40.0,166.4,131.5064136919004,81.0,121.0,206.25,20.0,,18000.0,3600.0,1200.0,1636.3636363636365,809.0398349558906,1200.0,1200.0,1800.0,11.0,
27:03:2013,38401.0,4799.0,0.0,0.0,0.0,4800.0,0.0,2.0,0.0,0.0,57.0,"0,0,Moore Psychology Building,Moore Psychology Building,Hanover Inn Dartmouth",1606.0,546.0,40.0,178.44444444444446,165.3534933945388,61.0,122.0,222.0,9.0,,3600.0,2401.0,1199.0,1800.0,849.9423509862302,1499.5,1800.0,2100.5,2.0,
27:04:2013,175201.0,19200.0,0.0,3600.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,"Moore Psychology Building,Native American House Parking Lot,0,0,Moore Psychology Building,Native American House Parking Lot,Native American House Parking Lot,Moore Psychology Building,Moore Psychology Building,0",15361.0,3510.0,30.0,568.925925925926,929.179908303178,101.0,232.0,484.0,27.0,,126028.0,70801.0,27.0,25205.6,30435.550648871133,3600.0,9600.0,42000.0,5.0,
27:05:2013,41999.0,27601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,"0,Dartmouth College,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building,Moore Psychology Building,Dartmouth College,0,0",16911.0,2339.0,40.0,433.61538461538464,554.5251935515652,151.0,222.0,438.0,39.0,,26405.0,9605.0,1200.0,2933.8888888888887,2692.2734094276366,1200.0,2400.0,3600.0,9.0,
28:03:2013,4801.0,35952.0,49198.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,"Moore Psychology Building,Moore Psychology Building,0,0,0,Moore Psychology Building",6397.0,2143.0,60.0,355.3888888888889,582.8566707972128,88.5,166.5,230.5,18.0,,3549.0,1198.0,1153.0,1183.0,25.98076211353316,1175.5,1198.0,1198.0,3.0,
28:05:2013,35270.0,32400.0,0.0,0.0,0.0,0.0,22800.0,1.0,0.0,0.0,57.0,"Dartmouth College,Moore Psychology Building,Moore Psychology Building,Phi Tau,Phi Tau,0,0",26070.0,9694.0,60.0,790.0,1718.1443296475416,111.0,322.0,666.0,33.0,1.0,22917.0,13200.0,1317.0,5729.25,5367.720396034056,2129.25,4200.0,7800.0,4.0,2.0
29:03:2013,46797.0,24051.0,220958.0,0.0,0.0,629.0,0.0,4.0,0.0,0.0,57.0,"Moore Psychology Building,Dartmouth College,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,0,0,0,Hanover Inn Dartmouth,0",5962.0,1042.0,70.0,350.7058823529412,331.6880621732342,101.0,232.0,596.0,17.0,,174158.0,174158.0,174158.0,174158.0,,174158.0,174158.0,174158.0,1.0,
29:04:2013,51600.0,22800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,"0,0,Moore Psychology Building",18342.0,3752.0,71.0,655.0714285714286,735.0584722809182,269.5,418.0,912.5,28.0,,4800.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,4.0,
29:05:2013,54000.0,28803.0,0.0,2397.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,"Moore Psychology Building,Native American House Parking Lot,Native American House Parking Lot,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building",10770.0,2269.0,51.0,538.5,565.277807807807,146.0,353.0,648.0,20.0,,20397.0,3600.0,1197.0,1569.0,756.6326717767347,1200.0,1200.0,1200.0,13.0,
30:04:2013,55201.0,32401.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,"Moore Psychology Building,0,0,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building",15385.0,2391.0,40.0,615.4,674.4431036047445,182.0,312.0,999.0,25.0,,9860.0,2401.0,1200.0,1643.3333333333333,595.0151818791405,1200.0,1329.5,2164.75,6.0,
30:05:2013,43200.0,51600.0,0.0,1200.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,"Moore Psychology Building,Native American House Parking Lot,Moore Psychology Building,0,0,Moore Psychology Building,0,0,Moore Psychology Building",20001.0,6484.0,40.0,476.2142857142857,1005.3037530460642,122.75,226.5,455.5,42.0,,16049.0,4800.0,1.0,1459.0,1251.607526343622,1200.0,1200.0,1200.0,11.0,
31:05:2013,2397.0,14399.0,9599.0,4804.0,0.0,0.0,44401.0,4.0,0.0,0.0,57.0,"Moore Psychology Building,Bartlett Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Collis Student Center,Collis Student Center,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Dartmouth College,White Mountains Insurance Group,White Mountains Insurance Group,Dartmouth College,Moore Psychology Building,Moore Psychology Building,Phi Tau,Phi Tau,Wilson Hall,0",24875.0,3258.0,70.0,672.2972972972973,740.0942081498388,211.0,423.0,877.0,37.0,,29554.0,19954.0,4800.0,9851.333333333334,8749.165979299589,4800.0,4800.0,12377.0,3.0,
30:03:2013,,,,,,,,,,,,,10713.0,3276.0,30.0,535.65,797.1554213511149,80.75,207.0,816.75,20.0,,,,,,,,,,,
31:03:2013,,,,,,,,,,,,,14940.0,2599.0,41.0,574.6153846153846,628.0269469965808,123.5,384.5,783.0,26.0,,39874.0,39874.0,39874.0,39874.0,,39874.0,39874.0,39874.0,1.0,
07:04:2013,,,,,,,,,,,,,22478.0,3005.0,61.0,775.1034482758621,866.2386814279135,131.0,417.0,1149.0,29.0,,70807.0,50407.0,20400.0,35403.5,21218.153183064733,27901.75,35403.5,42905.25,2.0,
28:04:2013,,,,,,,,,,,,,11327.0,1877.0,51.0,471.9583333333333,421.65362656699807,158.5,353.0,648.5,24.0,,10805.0,9600.0,5.0,3601.6666666666665,5228.958627999779,602.5,1200.0,5400.0,3.0,
