,home_time,school_time,recreational_activities,orthers,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
01:04:2013,32938.0,36662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall",23792,2320.0,51.0,403.2542372881356,450.6592333391216,121.0,252.0,499.0,59.0,,36586.0,22806.0,1148.0,3326.0,6472.980781680107,1158.0,1205.0,1561.0,11.0,
01:05:2013,128400.0,27600.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,52.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",876,322.0,40.0,146.0,103.43500374631404,86.0,110.5,189.0,6.0,0.0,127200.0,126000.0,1200.0,63600.0,88246.92629208113,32400.0,63600.0,94800.0,2.0,3.0
01:06:2013,1165.0,1800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,52.0,"Sudikoff Hall,0,0",4763,1475.0,101.0,529.2222222222222,513.5257485700638,141.0,313.0,1019.0,9.0,,4200.0,1800.0,600.0,1050.0,574.4562646538029,600.0,900.0,1350.0,4.0,
02:04:2013,43200.0,45600.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall",13846,2511.0,50.0,419.5757575757576,521.7388613031804,141.0,232.0,453.0,33.0,,53246.0,40774.0,1146.0,7606.571428571428,14758.52239506768,1173.5,1200.0,3889.5,7.0,
02:05:2013,1200.0,27600.0,1200.0,0.0,0.0,0.0,3.0,0.0,0.0,52.0,"0,Hood Museum of Art,Sudikoff Hall",3672,757.0,61.0,408.0,279.0524144314111,151.0,323.0,726.0,9.0,0.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,3.0
03:04:2013,118800.0,43200.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,0",6639,1392.0,60.0,390.52941176470586,355.0665637678129,106.0,302.0,484.0,17.0,1.0,120000.0,118800.0,1200.0,60000.0,83155.75746753799,30600.0,60000.0,89400.0,2.0,2.0
03:05:2013,51600.0,12001.0,0.0,1199.0,0.0,0.0,4.0,0.0,0.0,52.0,"Sudikoff Hall,Coldwell Banker,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse",14541,4185.0,51.0,519.3214285714286,938.80460056517,91.0,151.5,459.25,28.0,1.0,44475.0,30000.0,1200.0,7412.5,11194.303797021055,1462.5,3525.0,4968.75,6.0,2.0
04:04:2013,1200.0,8318.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,52.0,"0,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",14380,3510.0,50.0,575.2,847.678250674551,141.0,293.0,384.0,25.0,1.0,55015.0,52712.0,1099.0,18338.333333333332,29768.51484930569,1151.5,1204.0,26958.0,3.0,1.0
04:05:2013,36246.0,171600.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall",37707,9631.0,61.0,1256.9,2490.381252490996,113.75,242.0,505.75,30.0,,121358.0,83400.0,37958.0,60679.0,32132.346350679098,49318.5,60679.0,72039.5,2.0,
05:04:2013,52800.0,44394.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",13574,2159.0,50.0,411.3333333333333,479.6303046792046,152.0,252.0,424.0,33.0,1.0,,,,,,,,,,1.0
06:04:2013,85201.0,13288.0,0.0,0.0,1199.0,0.0,5.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,0,0",23248,4589.0,50.0,664.2285714285714,1014.5724421332044,171.0,312.0,644.5,35.0,1.0,57433.0,53176.0,1200.0,14358.25,25880.353248168773,1200.0,1528.5,14686.75,4.0,2.5
06:05:2013,35366.0,127618.0,673.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,"Sudikoff Hall,0,0,0,Hood Museum of Art,Sudikoff Hall",8427,1008.0,80.0,337.08,244.15959944265967,171.0,293.0,404.0,25.0,,35304.0,34205.0,497.0,11768.0,19431.082908577177,549.5,602.0,17403.5,3.0,
07:04:2013,61200.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,52.0,"0,0",8016,2572.0,61.0,320.64,512.4796646372095,101.0,161.0,292.0,25.0,,56400.0,55200.0,1200.0,28200.0,38183.76618407357,14700.0,28200.0,41700.0,2.0,
08:04:2013,57715.0,28695.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Hood Museum of Art,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0",7360,666.0,50.0,272.5925925925926,211.44089176942745,105.5,191.0,398.0,27.0,1.0,54816.0,53612.0,1204.0,27408.0,37058.05218842458,14306.0,27408.0,40510.0,2.0,1.0
08:05:2013,52200.0,10800.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,52.0,"Sudikoff Hall,0,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Guarini Institute for International Education",12144,3328.0,60.0,404.8,591.6675674268681,133.5,252.5,411.25,30.0,1.0,121296.0,73200.0,550.0,20216.0,30921.200830498157,783.5,1876.0,33000.0,6.0,1.0
09:04:2013,45600.0,39600.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,0,0",11146,1089.0,70.0,285.79487179487177,244.5054277179461,106.0,202.0,379.0,39.0,1.0,49208.0,44400.0,1200.0,9841.6,19318.733014874448,1200.0,1203.0,1205.0,5.0,1.0
09:05:2013,74400.0,19801.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,52.0,"0,0,Sudikoff Hall",8573,2017.0,40.0,451.2105263157895,544.3840126384813,85.5,171.0,529.5,19.0,,1260.0,712.0,548.0,630.0,115.9655121145938,589.0,630.0,671.0,2.0,
10:04:2013,48000.0,36000.0,0.0,2400.0,0.0,0.0,2.0,0.0,0.0,52.0,"0,Sudikoff Hall,Sudikoff Hall,0,0",12774,999.0,51.0,336.1578947368421,255.49046909983448,133.5,246.5,509.0,38.0,1.0,49205.0,46805.0,1200.0,16401.666666666668,26330.059026392883,1200.0,1200.0,24002.5,3.0,
10:05:2013,44400.0,50399.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,52.0,"Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse,Sudikoff Hall",14840,3226.0,40.0,436.4705882352941,623.7411679240676,90.25,151.0,496.25,34.0,,48237.0,11069.0,533.0,3445.5,3530.0272334970405,600.0,2100.0,5850.0,14.0,
11:04:2013,50400.0,32400.0,3600.0,0.0,0.0,0.0,3.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Hanover Inn Dartmouth,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,0,0,Hopkins Center for the Arts,Sudikoff Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse",18685,3428.0,40.0,583.90625,777.6905993689098,97.75,378.0,597.25,32.0,,48000.0,46800.0,1200.0,24000.0,32244.06922210657,12600.0,24000.0,35400.0,2.0,1.0
11:05:2013,58167.0,13800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,52.0,"Sudikoff Hall,0,0,0,0,0,Wilson Hall,Sudikoff Hall,Sudikoff Hall,0",18399,1976.0,41.0,541.1470588235294,573.2985964998197,111.0,212.0,933.0,34.0,,37636.0,19200.0,497.0,3136.3333333333335,5356.213831248769,600.0,603.0,3450.0,12.0,
12:04:2013,54000.0,50400.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall",9392,1957.0,30.0,391.3333333333333,421.8680678442808,138.5,313.0,418.25,24.0,,51600.0,51600.0,51600.0,51600.0,,51600.0,51600.0,51600.0,1.0,
12:05:2013,40834.0,39600.0,2400.0,0.0,600.0,0.0,-1.0,0.0,0.0,52.0,"0,0,Berry Hall,Sudikoff Hall,Sudikoff Hall,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,0,0,0",10622,504.0,30.0,189.67857142857144,130.33775803208815,80.0,156.0,265.5,56.0,,47403.0,18000.0,595.0,6771.857142857143,6195.4788200367375,1499.5,8398.0,8705.5,7.0,
13:04:2013,57600.0,14400.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",7603,1230.0,60.0,304.12,277.6279464799368,131.0,232.0,373.0,25.0,1.0,58800.0,57600.0,1200.0,29400.0,39880.82245892128,15300.0,29400.0,43500.0,2.0,
13:05:2013,45659.0,40797.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,52.0,"0,0,0,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Reed Hall,East Wheelock Street,Wentworth Hall,Sudikoff Hall,Guarini Institute for International Education",12249,1302.0,40.0,360.2647058823529,354.59574155465936,113.5,211.5,421.5,34.0,,39207.0,34164.0,585.0,5601.0,12597.730258529378,652.0,769.0,1192.5,7.0,
14:04:2013,45600.0,37200.0,1200.0,0.0,0.0,0.0,-1.0,0.0,0.0,52.0,"0,Hood Museum of Art,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall",12198,1583.0,40.0,338.8333333333333,324.44427212432913,126.0,293.0,390.75,36.0,1.0,52463.0,47663.0,1200.0,10492.6,20778.885287714547,1200.0,1200.0,1200.0,5.0,1.0
14:05:2013,49874.0,38326.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,"Anonymous Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,0,Sudikoff Hall,Sudikoff Hall",9077,827.0,50.0,259.3428571428572,206.66069703133925,121.0,192.0,307.5,35.0,,56275.0,46800.0,488.0,8039.285714285715,17151.60785188263,554.0,679.0,3600.0,7.0,
15:04:2013,58797.0,21604.0,5999.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,"Sudikoff Hall,Alumni Gymnasium,Alumni Gymnasium,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,0",11068,1825.0,85.0,425.6923076923077,414.9932789075765,126.0,252.5,474.0,26.0,1.0,54006.0,52806.0,1200.0,27003.0,36490.952549912974,14101.5,27003.0,39904.5,2.0,1.0
15:05:2013,35996.0,78604.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,52.0,"0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Anonymous Hall,Reed Hall,Dartmouth College,Sudikoff Hall",20394,2623.0,50.0,407.88,528.1648103942324,93.5,206.5,453.75,50.0,1.0,38342.0,31800.0,600.0,4792.75,10916.436254565864,600.0,1171.0,1197.5,8.0,1.0
16:04:2013,49149.0,39600.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,"0,Sudikoff Hall,Sudikoff Hall,0",8900,948.0,60.0,247.22222222222223,230.0623655957056,91.0,156.0,358.0,36.0,1.0,47920.0,19200.0,1200.0,7986.666666666667,8259.316815976164,1200.5,4777.5,14662.0,6.0,1.6666666666666667
16:05:2013,43803.0,28800.0,0.0,1200.0,599.0,0.0,3.0,0.0,0.0,52.0,"Sudikoff Hall,0,0,0,Dana Parking Lot,Sudikoff Hall",15783,4457.0,51.0,876.8333333333334,1336.8411076335226,73.25,161.0,867.5,18.0,1.0,44921.0,43146.0,569.0,11230.25,21277.17276605768,593.0,603.0,11240.25,4.0,1.5
17:04:2013,43251.0,39546.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,52.0,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,Sudikoff Hall,Sudikoff Hall",13179,2239.0,50.0,299.52272727272725,372.0960421554331,91.0,181.0,322.25,44.0,1.0,27451.0,15556.0,1150.0,3921.571428571429,5206.207892415326,1200.0,2400.0,2972.5,7.0,1.5
17:05:2013,50972.0,6601.0,7199.0,0.0,0.0,1200.0,4.0,0.0,0.0,52.0,"Sudikoff Hall,Hanover Inn Dartmouth,Hanover Inn Dartmouth,Sudikoff Hall,Sudikoff Hall,Hanover Park,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",26746,7333.0,40.0,1069.84,1800.3239912119518,151.0,242.0,1169.0,25.0,1.0,114754.0,75600.0,600.0,12750.444444444443,26138.944427382256,600.0,605.0,719.0,9.0,1.0
18:04:2013,43200.0,48054.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,52.0,"Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse",19181,3206.0,50.0,416.9782608695652,640.6549596270102,127.75,197.0,413.0,46.0,1.0,38427.0,32400.0,1156.0,6404.5,12735.188569471597,1200.5,1203.5,1249.25,6.0,1.5
18:05:2013,76220.0,21001.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,52.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,0",3641,1208.0,223.0,606.8333333333334,355.38791013013747,363.25,565.0,729.25,6.0,1.0,58843.0,56400.0,1190.0,19614.333333333332,31857.337401818964,1221.5,1253.0,28826.5,3.0,1.0
19:04:2013,49200.0,71928.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,0,0,Hanover High School,Sudikoff Hall",3923,787.0,60.0,230.76470588235293,189.15619518395528,121.0,182.0,272.0,17.0,,44400.0,43200.0,1200.0,22200.0,29698.484809835,11700.0,22200.0,32700.0,2.0,
19:05:2013,60580.0,13756.0,0.0,2453.0,0.0,0.0,-1.0,0.0,0.0,52.0,"0,Robinson Hall,Sudikoff Hall,Sudikoff Hall,Hanover Post Office,0,0,0,Sudikoff Hall",413,363.0,50.0,206.5,221.32442251138937,128.25,206.5,284.75,2.0,1.0,14460.0,4800.0,600.0,1606.6666666666667,1464.6560176369055,600.0,643.0,1800.0,9.0,1.0
20:04:2013,48000.0,2472.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,52.0,"Sudikoff Hall,0",6281,1019.0,50.0,216.5862068965517,221.86361918359077,101.0,141.0,202.0,29.0,1.0,50474.0,49200.0,1274.0,25237.0,33888.799595146476,13255.5,25237.0,37218.5,2.0,1.0
20:05:2013,75000.0,13218.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,52.0,"Sudikoff Hall,Steele Hall,Irving,0,0,Hanover Post Office,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",7084,1249.0,60.0,308.0,315.67906602635645,111.0,221.0,368.0,23.0,1.0,49736.0,37691.0,601.0,7105.142857142857,13689.610700924157,900.5,1200.0,4221.5,7.0,2.0
21:04:2013,20400.0,79200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,52.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",5910,2017.0,60.0,738.75,722.881090794725,159.75,538.5,1013.75,8.0,,74479.0,46800.0,27679.0,37239.5,13520.588763067975,32459.25,37239.5,42019.75,2.0,
22:04:2013,49201.0,55200.0,0.0,0.0,0.0,1199.0,0.0,0.0,0.0,52.0,"0,Hanover Park,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall",16137,1452.0,71.0,448.25,428.36095426971065,149.5,272.5,481.75,36.0,,45575.0,45575.0,45575.0,45575.0,,45575.0,45575.0,45575.0,1.0,
22:05:2013,33600.0,59303.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall",18622,2905.0,41.0,465.55,717.5216587457347,113.5,181.5,394.25,40.0,1.0,37707.0,31592.0,600.0,5386.714285714285,11589.39375340352,600.0,600.0,1857.5,7.0,1.5
23:04:2013,43088.0,18112.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,"Sudikoff Hall,0,0,0,Class of 1953 Commons,Sudikoff Hall",17181,4619.0,61.0,613.6071428571429,883.1836493423145,131.75,343.0,737.0,28.0,1.0,44405.0,40800.0,1200.0,11101.25,19799.16680696438,1200.0,1202.5,11103.75,4.0,1.0
23:05:2013,43800.0,33000.0,1200.0,0.0,0.0,0.0,3.0,0.0,0.0,52.0,"Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Sudikoff Hall",14687,4851.0,60.0,773.0,1190.9119754764972,166.5,272.0,791.5,19.0,1.0,45600.0,42000.0,600.0,9120.0,18387.822057002835,600.0,600.0,1800.0,5.0,1.0
24:04:2013,44400.0,40800.0,1200.0,3600.0,0.0,0.0,2.0,0.0,0.0,52.0,"Sudikoff Hall,0,0,Dartmouth Hall,Sudikoff Hall,Sudikoff Hall,Hood Museum of Art,0,0,0,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",5634,877.0,50.0,268.2857142857143,246.75598125620843,141.0,171.0,252.0,21.0,,29012.0,7200.0,1194.0,2901.2,1888.854608839265,1500.0,2400.0,3354.5,10.0,
24:05:2013,38400.0,59400.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,52.0,"Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall",16231,2209.0,40.0,377.4651162790698,433.9100932131541,151.0,212.0,403.0,43.0,1.0,118955.0,64320.0,542.0,13217.222222222224,22439.000550257235,714.0,2725.0,6346.0,9.0,2.0
25:04:2013,58800.0,5574.0,0.0,0.0,0.0,7626.0,3.0,0.0,0.0,52.0,"Sudikoff Hall,Hanover Park,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,Life Sciences Greenhouse",10101,1522.0,40.0,404.04,407.0319889148764,111.0,212.0,513.0,25.0,1.0,53950.0,52750.0,1200.0,26975.0,36451.35457016653,14087.5,26975.0,39862.5,2.0,1.0
25:05:2013,161400.0,4800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,52.0,"Sudikoff Hall,0,0,0",16719,3126.0,50.0,477.6857142857143,599.2006818611418,101.0,222.0,670.0,35.0,,95593.0,95593.0,95593.0,95593.0,,95593.0,95593.0,95593.0,1.0,
26:04:2013,50400.0,61200.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall",11734,2684.0,40.0,391.1333333333333,526.6904301346307,113.5,161.5,441.75,30.0,1.0,48000.0,48000.0,48000.0,48000.0,,48000.0,48000.0,48000.0,1.0,1.0
27:03:2013,0.0,79281.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,52.0,Sudikoff Hall,3782,1775.0,50.0,343.8181818181818,489.6780203729423,90.5,212.0,313.0,11.0,,,,,,,,,,,
27:04:2013,56400.0,33600.0,0.0,1200.0,0.0,0.0,5.0,0.0,0.0,52.0,"Sudikoff Hall,0,0,0,Sudikoff Hall",4627,1291.0,40.0,272.1764705882353,312.4338400554023,91.0,121.0,353.0,17.0,,56400.0,55200.0,1200.0,28200.0,38183.76618407357,14700.0,28200.0,41700.0,2.0,
27:05:2013,63000.0,18600.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,52.0,"Nugget Arcade,0,0,West Stands,Sudikoff Hall",17518,6050.0,40.0,922.0,1677.542448543901,96.0,141.0,302.5,19.0,,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,1.0,
28:03:2013,46817.0,7183.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,52.0,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",14356,2329.0,31.0,478.53333333333336,519.187875989716,153.5,307.5,544.75,30.0,,45524.0,45524.0,45524.0,45524.0,,45524.0,45524.0,45524.0,1.0,
28:04:2013,50400.0,38400.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,52.0,"Sudikoff Hall,0,0,Sudikoff Hall",1532,434.0,30.0,139.27272727272728,123.66332593707072,75.0,81.0,151.0,11.0,,50400.0,49200.0,1200.0,25200.0,33941.12549695428,13200.0,25200.0,37200.0,2.0,
28:05:2013,0.0,85800.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",16785,2451.0,60.0,335.7,459.09712857889633,90.0,181.0,348.0,50.0,,2396.0,1196.0,600.0,798.6666666666666,344.10076043701696,600.0,600.0,898.0,3.0,
29:03:2013,46773.0,56427.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse,Sudikoff Hall",22893,4729.0,50.0,693.7272727272727,1079.5034527714372,151.0,353.0,585.0,33.0,,47955.0,39606.0,1095.0,7992.5,15518.433384204734,1200.75,1212.0,3027.75,6.0,
29:04:2013,51600.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,"Sudikoff Hall,0",7331,1826.0,61.0,333.22727272727275,431.5336914307234,93.5,167.0,340.25,22.0,,57523.0,54002.0,1123.0,19174.333333333332,30168.38047249692,1760.5,2398.0,28200.0,3.0,
29:05:2013,46801.0,61740.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,52.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall",21880,2224.0,31.0,475.6521739130435,578.8525514571932,103.25,176.0,643.25,46.0,,32383.0,16800.0,583.0,8095.75,8720.382574749803,595.75,7500.0,15000.0,4.0,
30:03:2013,44400.0,22799.0,0.0,1200.0,0.0,1201.0,5.0,0.0,0.0,52.0,"Sudikoff Hall,Hanover Park,Sudikoff Hall,Sudikoff Hall,Dartmouth Real Estate - Sachem Village,0",23932,3965.0,71.0,629.7894736842105,787.9826160071331,193.5,428.5,599.75,38.0,1.0,83430.0,45605.0,3032.0,16686.0,18245.79476208148,4800.0,5999.0,23994.0,5.0,
30:04:2013,55200.0,37200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,"0,Sudikoff Hall,Sudikoff Hall,0",10920,1190.0,70.0,352.258064516129,330.63000143583827,111.0,212.0,494.0,31.0,,28668.0,9600.0,1121.0,2205.230769230769,2294.070441880042,1200.0,1200.0,2400.0,13.0,
30:05:2013,45613.0,44438.0,0.0,6009.0,0.0,0.0,3.0,0.0,0.0,52.0,"Sudikoff Hall,0,0,Irving,Sudikoff Hall",16060,2471.0,41.0,472.3529411764706,552.1109837020276,121.0,202.0,579.75,34.0,,55726.0,32519.0,444.0,7960.857142857143,12157.71133106572,929.5,2400.0,9252.0,7.0,
31:03:2013,43200.0,60008.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,52.0,"0,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall",21650,2703.0,20.0,515.4761904761905,684.356212983084,101.0,267.0,652.25,42.0,,43060.0,38305.0,1159.0,10765.0,18368.96133880919,1189.75,1798.0,11373.25,4.0,1.0
31:05:2013,39000.0,44999.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,52.0,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall",19262,1554.0,51.0,481.55,396.6486496662396,146.0,378.5,716.25,40.0,,45598.0,37799.0,599.0,9119.6,16090.429462882588,600.0,3000.0,3600.0,5.0,
05:05:2013,,,,,,,,,,,,13738,4477.0,61.0,473.7241379310345,797.1597302096866,221.0,313.0,383.0,29.0,,29400.0,29400.0,29400.0,29400.0,,29400.0,29400.0,29400.0,1.0,
26:05:2013,,,,,,,,,,,,20745,5113.0,40.0,829.8,1221.5734389166569,172.0,374.0,574.0,25.0,,62400.0,62400.0,62400.0,62400.0,,62400.0,62400.0,62400.0,1.0,
